delay,centraleId,afstandTotLoskade
14781,Liefkenshoek,55606
32694,Baarland,34653
9358,Kruisschans,34858
36213,Terneuzen,50740
35857,Liefkenshoek,19791
23728,Kaapduinen,38825
49380,Cadzand,19346
13508,Prosperpolder,30877
39393,Kaapduinen,65367
44962,Blauwgaren,20189
36841,Waarde,3408
7975,Kaapduinen,13333
19572,Kaapduinen,69663
20905,Waarde,526
49982,Liefkenshoek,5825
21416,Kruisschans,2594
46518,Westkapelle,27023
23303,Oudendijk,57911
39520,Terneuzen,6918
43637,Waarde,7332
35187,Terneuzen,77519
18720,Ballastplaat,27504
20575,Hoofdplaat,44343
6235,Kruisschans,62483
47229,Vlissingen,21661
33811,Terneuzen,72593
35778,Kallo,76855
3903,Saeftinge,3769
20911,Blauwgaren,70329
13135,Westkapelle,32762
33192,Liefkenshoek,72695
16958,Waarde,48685
38431,Ballastplaat,79465
48656,Westkapelle,30834
41880,Blauwgaren,23640
13990,Saeftinge,77476
31826,Hoofdplaat,29489
28533,Saeftinge,41498
12006,Vlissingen,20906
17667,Saeftinge,35135
38700,Waarde,28653
21112,Hansweert,77677
4947,Terneuzen,8608
8219,Oudendijk,41467
2930,Cadzand,28361
3342,Saeftinge,25291
25781,Blauwgaren,35205
7241,Saeftinge,39605
38551,Liefkenshoek,46424
26570,Ballastplaat,73601
38604,Blauwgaren,59509
13221,Ballastplaat,67947
20842,Kallo,40961
36114,Oudendijk,44522
29667,Prosperpolder,36485
7136,Kruisschans,3854
25580,Saeftinge,75785
28271,Saeftinge,11610
6803,Kallo,43428
42877,Blauwgaren,70741
19756,Baarland,62402
30050,Terneuzen,50312
3289,Kallo,49449
49309,Baarland,59176
29326,Waarde,57492
18106,Vlissingen,60771
21631,Prosperpolder,14400
47726,Baarland,76448
22824,Kaapduinen,33541
25456,Vlissingen,31030
40818,Blauwgaren,23912
43469,Blauwgaren,45147
18536,Saeftinge,76087
20578,Terneuzen,16781
6750,Liefkenshoek,25486
30353,Cadzand,9076
8655,Hoofdplaat,27679
44145,Ballastplaat,63159
9856,Saeftinge,28434
27173,Hoofdplaat,16665
46752,Oudendijk,2765
29310,Cadzand,18608
15671,Oudendijk,66276
18592,Prosperpolder,9012
47196,Terneuzen,4159
45003,Ballastplaat,41733
9475,Westkapelle,33662
30140,Hansweert,15294
29979,Liefkenshoek,57928
13278,Hansweert,33246
37000,Hansweert,26877
23431,Hansweert,63004
41336,Kallo,59930
41468,Oudendijk,34989
17014,Cadzand,2960
16344,Kaapduinen,49381
35202,Saeftinge,21404
11681,Blauwgaren,64913
3745,Baarland,32858
46677,Blauwgaren,79262
