46269,Waarde,28641
30861,Oudendijk,2932
43346,Terneuzen,54904
49812,Cadzand,66274
19293,Hoofdplaat,534
24584,Cadzand,15611
8049,Vlissingen,55316
42578,Saeftinge,39694
45115,Kallo,34248
24380,Prosperpolder,39286
5094,Blauwgaren,37970
32980,Hansweert,43101
5235,Blauwgaren,47520
47910,Waarde,3634
6049,Hansweert,13358
44923,Hoofdplaat,31766
32177,Saeftinge,25486
23935,Kallo,34543
16910,Kruisschans,44082
13649,Oudendijk,9808
17410,Terneuzen,72225
23817,Kallo,21539
41988,Hoofdplaat,12789
46592,Baarland,63245
10340,Westkapelle,73972
4169,Hoofdplaat,30815
38074,Terneuzen,16381
3748,Vlissingen,27351
20871,Oudendijk,41472
10023,Ballastplaat,13065
11041,Prosperpolder,29134
11922,Liefkenshoek,26383
30095,Ballastplaat,76062
46027,Hoofdplaat,75633
32686,Ballastplaat,27905
4010,Waarde,10010
23621,Kaapduinen,12751
45445,Terneuzen,59954
18148,Vlissingen,63183
30817,Prosperpolder,71267
47121,Saeftinge,65766
5962,Ballastplaat,76036
44129,Saeftinge,9897
31131,Liefkenshoek,5430
19565,Ballastplaat,54914
48252,Baarland,10802
3757,Kallo,21290
20393,Oudendijk,58209
33205,Oudendijk,68647
40173,Kruisschans,43428
42951,Kruisschans,33504
20485,Kruisschans,60394
41334,Kruisschans,72756
13695,Liefkenshoek,63396
43644,Vlissingen,33554
7765,Westkapelle,33267
44284,Liefkenshoek,44895
38439,Vlissingen,40000
35671,Saeftinge,72665
36242,Hoofdplaat,34577
31156,Westkapelle,19568
43390,Kaapduinen,46057
47364,Oudendijk,4468
34395,Kallo,40193
44054,Oudendijk,11537
38829,Cadzand,40600
25342,Oudendijk,30674
6605,Kaapduinen,37547
18804,Saeftinge,62349
43358,Kruisschans,36261
31452,Hansweert,44494
26100,Hoofdplaat,60006
44211,Hansweert,69437
24680,Ballastplaat,42722
48588,Hansweert,60897
38695,Blauwgaren,77920
4704,Vlissingen,4377
45212,Kruisschans,29181
47923,Baarland,53586
5280,Prosperpolder,77981
35300,Hansweert,27440
21850,Westkapelle,39071
12450,Ballastplaat,36900
32686,Hansweert,47077
16608,Kruisschans,1702
18057,Baarland,3791
11130,Westkapelle,56437
13355,Baarland,37961
8719,Blauwgaren,1233
4157,Baarland,54900
47597,Cadzand,28353
49211,Hansweert,31103
7695,Kruisschans,59605
21092,Liefkenshoek,75174
46240,Prosperpolder,41512
31765,Liefkenshoek,41733
15520,Kaapduinen,79546
41786,Cadzand,8671
37205,Oudendijk,18315
28312,Baarland,22170
