7842,Westkapelle,67387
38919,Ballastplaat,74966
24833,Prosperpolder,18457
45334,Cadzand,48988
11478,Prosperpolder,21526
3324,Hansweert,53119
45219,Ballastplaat,49797
48188,Baarland,20861
35322,Ballastplaat,37234
32913,Ballastplaat,68467
41887,Hoofdplaat,30210
39882,Blauwgaren,63647
11205,Kallo,13851
36409,Hoofdplaat,11088
43777,Waarde,45427
46503,Kallo,11940
6252,Waarde,64381
47305,Blauwgaren,31541
16809,Blauwgaren,59420
11144,Kallo,13631
46904,Kruisschans,936
40916,Baarland,26980
4122,Kruisschans,23983
24525,Vlissingen,11430
12606,Terneuzen,18542
28765,Cadzand,75210
34965,Hansweert,39883
24627,Oudendijk,2867
40484,Blauwgaren,29149
31444,Cadzand,67187
35194,Hoofdplaat,43406
48873,Blauwgaren,51310
7079,Ballastplaat,68396
29689,Vlissingen,24144
29823,Kallo,7684
21907,Westkapelle,70886
35198,Westkapelle,67530
48674,Westkapelle,56599
28930,Ballastplaat,54019
37666,Ballastplaat,5168
36250,Waarde,37776
45451,Hoofdplaat,12158
49393,Saeftinge,62517
11723,Cadzand,79970
35987,Kruisschans,70409
5075,Prosperpolder,52719
38547,Prosperpolder,14616
3015,Kallo,45461
5413,Westkapelle,79315
35721,Hansweert,13024
49186,Terneuzen,74195
3813,Prosperpolder,29819
22943,Kallo,8753
39669,Oudendijk,79468
15635,Waarde,69644
31151,Prosperpolder,34134
35833,Terneuzen,73090
29110,Terneuzen,11480
16255,Oudendijk,23927
9169,Liefkenshoek,73643
30710,Saeftinge,26318
48103,Saeftinge,61791
46612,Hansweert,68885
33857,Cadzand,7497
15475,Oudendijk,79643
29443,Hoofdplaat,39944
45408,Cadzand,79698
17205,Prosperpolder,30441
33705,Ballastplaat,25539
32829,Kaapduinen,75872
41476,Kallo,42511
7433,Westkapelle,39150
22264,Hansweert,24006
40765,Vlissingen,16616
48765,Westkapelle,27703
24221,Blauwgaren,1003
45705,Kruisschans,36976
19299,Prosperpolder,69461
28048,Oudendijk,51336
6876,Kaapduinen,13310
22182,Oudendijk,62030
21555,Hoofdplaat,45513
6055,Hoofdplaat,46017
49427,Westkapelle,40012
29016,Cadzand,70821
20797,Terneuzen,53971
35499,Vlissingen,3346
42514,Saeftinge,6597
42876,Liefkenshoek,50443
24340,Saeftinge,77217
21681,Terneuzen,45907
38254,Saeftinge,47404
4173,Kruisschans,46966
44013,Saeftinge,61150
32620,Baarland,4406
26015,Terneuzen,44766
15934,Kallo,30337
13915,Vlissingen,48060
45688,Oudendijk,17561
4893,Westkapelle,31552
