delay,centraleId,afstandTotLoskade
39099,Blauwgaren,64324
15848,Saeftinge,27412
26253,Westkapelle,22957
35756,Oudendijk,1133
13905,Kaapduinen,48748
27023,Kruisschans,21281
19542,Hoofdplaat,40672
3728,Hoofdplaat,38055
36781,Waarde,23908
4976,Kruisschans,11827
27583,Oudendijk,6989
2594,Vlissingen,69272
7790,Cadzand,4822
45831,Ballastplaat,72768
45606,Westkapelle,7682
39994,Hoofdplaat,12860
39976,Liefkenshoek,28891
25545,Baarland,72864
12335,Hoofdplaat,40147
12831,Saeftinge,766
20530,Hoofdplaat,75309
4905,Kaapduinen,63036
47852,Hoofdplaat,3957
21169,Hoofdplaat,60735
45197,Cadzand,44177
36842,Kruisschans,27604
5264,Prosperpolder,47527
49225,Blauwgaren,44317
6700,Saeftinge,52706
16127,Hoofdplaat,41158
17487,Kallo,56850
8912,Baarland,32596
36596,Prosperpolder,79032
21549,Hoofdplaat,38419
29299,Saeftinge,45149
10981,Hansweert,34104
30593,Blauwgaren,74586
39738,Terneuzen,20423
2773,Vlissingen,56491
26074,Kaapduinen,60321
47158,Kruisschans,16538
38964,Prosperpolder,33235
12757,Liefkenshoek,3552
29046,Waarde,16803
21313,Kallo,59633
17940,Oudendijk,14398
33611,Cadzand,64038
49775,Kruisschans,12218
18021,Saeftinge,71358
38996,Saeftinge,49985
46666,Vlissingen,35483
43663,Kaapduinen,37149
14134,Kaapduinen,7414
20875,Waarde,16304
20232,Oudendijk,917
16783,Kruisschans,75312
27305,Cadzand,27654
19634,Ballastplaat,20056
43421,Terneuzen,19000
16602,Oudendijk,1323
17740,Prosperpolder,77067
46140,Prosperpolder,33324
12821,Kallo,31321
40188,Kaapduinen,74018
24768,Hoofdplaat,42645
37243,Oudendijk,25442
7664,Saeftinge,59153
13053,Waarde,25857
6846,Oudendijk,73828
19320,Liefkenshoek,22690
19519,Kaapduinen,322
30451,Hoofdplaat,40768
16791,Hoofdplaat,18412
20105,Saeftinge,10627
40527,Kallo,69427
26504,Ballastplaat,9126
43499,Blauwgaren,57979
20292,Vlissingen,59413
11781,Oudendijk,11365
36815,Oudendijk,75828
37951,Hansweert,54397
49274,Blauwgaren,8152
30087,Baarland,57736
23202,Vlissingen,49536
19068,Baarland,60215
38074,Hoofdplaat,43061
12528,Ballastplaat,7242
16013,Oudendijk,57464
4827,Ballastplaat,59133
9605,Hoofdplaat,29469
33891,Baarland,2359
17488,Hansweert,60035
17119,Kaapduinen,15012
7176,Kaapduinen,41290
41643,Waarde,7391
14413,Waarde,7248
39356,Saeftinge,13054
16510,Prosperpolder,64353
13279,Baarland,48588
44565,Oudendijk,5080
