3410,Ballastplaat,2075
2785,Kaapduinen,44975
39895,Kruisschans,59232
36921,Cadzand,35294
47488,Ballastplaat,5681
46307,Ballastplaat,30801
13819,Prosperpolder,70736
11298,Prosperpolder,6652
16036,Hansweert,14806
45328,Westkapelle,16776
26198,Waarde,68190
35291,Kallo,13700
33216,Vlissingen,35489
3351,Hoofdplaat,42979
24573,Blauwgaren,64032
12316,Kallo,65733
35260,Vlissingen,23711
49626,Liefkenshoek,40739
10558,Saeftinge,57157
43984,Blauwgaren,27912
47280,Hansweert,46556
48560,Vlissingen,46820
38951,Cadzand,16484
36701,Blauwgaren,63686
20099,Westkapelle,43111
24615,Liefkenshoek,17202
18664,Waarde,39449
30412,Kruisschans,20995
15805,Kruisschans,75202
14502,Blauwgaren,64113
21244,Waarde,42514
34242,Prosperpolder,28206
10227,Kruisschans,3091
11697,Cadzand,78211
42760,Saeftinge,47755
11584,Vlissingen,28079
16838,Kruisschans,14213
7729,Kallo,25782
3043,Terneuzen,69118
24531,Kruisschans,13463
47378,Liefkenshoek,45676
9953,Waarde,4008
24260,Liefkenshoek,74467
2574,Liefkenshoek,30490
33210,Vlissingen,61101
21851,Cadzand,67392
44096,Oudendijk,76249
5398,Waarde,50580
15648,Hansweert,65556
33600,Terneuzen,45651
33081,Liefkenshoek,76638
17496,Hoofdplaat,32504
8165,Liefkenshoek,16781
8161,Blauwgaren,21325
12882,Terneuzen,59749
4664,Hansweert,73193
26543,Hansweert,36027
43943,Kallo,35130
38591,Hansweert,25908
45908,Hoofdplaat,34004
37691,Hoofdplaat,12282
27844,Hansweert,43228
10618,Oudendijk,49867
6247,Waarde,3578
39564,Blauwgaren,51910
26936,Liefkenshoek,7410
5305,Hansweert,54456
42044,Hansweert,8998
33108,Vlissingen,46047
25649,Oudendijk,34473
39478,Vlissingen,40083
10787,Ballastplaat,23660
25498,Vlissingen,8948
3996,Kaapduinen,62278
19410,Kaapduinen,41824
27443,Oudendijk,51225
12982,Oudendijk,31632
12903,Hansweert,21680
27393,Kruisschans,19547
44355,Hoofdplaat,11462
47804,Oudendijk,11761
33363,Vlissingen,74498
31403,Saeftinge,21543
14014,Kaapduinen,34437
20551,Cadzand,53916
8403,Hansweert,42321
36189,Hansweert,12924
24967,Prosperpolder,6861
5508,Hoofdplaat,63368
40174,Liefkenshoek,28318
12891,Waarde,78815
25565,Baarland,51147
27365,Liefkenshoek,31291
4323,Vlissingen,51846
34634,Cadzand,18824
13211,Terneuzen,60620
23141,Prosperpolder,12328
17781,Saeftinge,17313
13347,Saeftinge,23150
35063,Kallo,67579
