delay,centraleId,afstandTotLoskade
40241,Blauwgaren,40933
22212,Kaapduinen,43687
11836,Waarde,258
9017,Hoofdplaat,6117
42876,Vlissingen,78897
46122,Terneuzen,33771
48897,Kaapduinen,42195
23570,Kallo,18670
22153,Blauwgaren,13293
27177,Oudendijk,16620
26215,Saeftinge,46536
41856,Hansweert,60019
36201,Liefkenshoek,27946
39054,Westkapelle,66742
36396,Liefkenshoek,51684
18005,Kaapduinen,7909
3187,Terneuzen,79084
38450,Cadzand,65509
29689,Kruisschans,43365
24353,Terneuzen,33412
19101,Waarde,75426
44315,Waarde,39462
14030,Blauwgaren,71561
25686,Vlissingen,30625
7232,Cadzand,50722
10266,Terneuzen,17242
48082,Waarde,70014
11884,Kruisschans,6427
44211,Saeftinge,11926
39077,Kaapduinen,47842
28069,Waarde,68032
23785,Kruisschans,28097
9639,Kallo,56348
34833,Hoofdplaat,74430
11081,Liefkenshoek,45845
34039,Kruisschans,63239
43069,Terneuzen,57601
39292,Liefkenshoek,54273
46882,Kallo,76828
21493,Westkapelle,60039
5854,Saeftinge,40281
7081,Baarland,50192
29275,Terneuzen,24532
48451,Vlissingen,58421
47608,Oudendijk,25172
4151,Ballastplaat,11511
47646,Waarde,276
48258,Saeftinge,22624
29352,Westkapelle,59819
9376,Blauwgaren,63095
48450,Blauwgaren,23995
20222,Baarland,37293
41410,Baarland,29250
33999,Vlissingen,3513
14597,Kallo,71645
36259,Liefkenshoek,45983
32116,Blauwgaren,6865
12655,Blauwgaren,25456
37173,Ballastplaat,15875
4422,Vlissingen,74533
45851,Westkapelle,39143
45764,Liefkenshoek,12256
19036,Westkapelle,15682
42151,Hansweert,22010
31964,Vlissingen,56604
42294,Kallo,35039
37819,Terneuzen,58594
24176,Hoofdplaat,57744
3581,Cadzand,34060
47232,Kallo,19671
31093,Vlissingen,22313
47850,Hansweert,44640
44306,Kruisschans,48910
12710,Vlissingen,25847
26647,Hansweert,76308
30247,Kruisschans,5586
8582,Kaapduinen,56610
37505,Baarland,60005
11035,Liefkenshoek,31903
20032,Cadzand,54103
27025,Cadzand,77616
7811,Hoofdplaat,73436
47598,Kallo,9579
18325,Kruisschans,64639
46587,Vlissingen,61120
12367,Vlissingen,29959
36211,Westkapelle,2178
43836,Ballastplaat,32072
2756,Cadzand,64420
37673,Waarde,44243
10158,Vlissingen,28344
22928,Saeftinge,15581
13888,Hansweert,21790
32109,Ballastplaat,40702
27921,Ballastplaat,61476
26554,Oudendijk,14238
48420,Liefkenshoek,3485
8104,Vlissingen,44637
28786,Prosperpolder,21844
26187,Vlissingen,8747
